Port,2009,2010,2011,2012,2013,2014,2015,2016,2017,2017.1,2018,2019,2020,id_Port
Aberdeen,1490,1525,1558,1536,1511,1488,1411,1344,1251,1266,1298,1145,886,0
Appledore,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Ardrishaig,62,81,110,65,89,87,85,75,19,15,11,15,5,2
Ayr,166,244,160,125,173,148,134,120,84,165,197,247,237,3
Barrow,39,74,67,52,59,40,43,47,51,61,54,59,52,4
Barry,102,68,63,73,63,69,68,60,71,81,75,65,48,5
Belfast,5379,5623,5397,5425,5358,5500,5485,5615,5534,5527,5474,5306,4951,6
Berwick-On-Tweed,27,30,46,39,35,29,24,27,23,9,1,0,1,7
Bideford,1,1,0,0,0,4,6,2,0,0,0,0,0,8
Blyth,286,316,371,271,259,218,292,294,205,205,227,236,202,9
Boston,383,495,440,416,373,382,412,521,377,371,371,420,393,10
Bridgwater,1,1,0,0,0,0,0,0,0,0,0,38,82,11
Brightlingsea,605,456,375,294,86,154,104,59,59,4,2,4,2,12
Bristol,986,1275,1237,1677,1739,1251,1270,1395,1375,1276,1324,1227,1045,13
Buckie,63,50,68,36,49,56,69,13,16,31,38,38,43,14
Burry Port,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Cairnryan,2540,2741,2691,2530,2429,2323,4408,4497,4439,2370,2350,2246,1857,16
Cardiff,401,462,426,579,507,482,586,301,274,266,232,211,204,17
Chichester,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Clyde,1176,1393,1711,2047,2045,2893,3462,2486,1997,922,937,731,636,19
Coleraine,3,26,21,21,14,15,19,22,30,27,23,23,12,20
Corpach,29,47,33,40,47,62,81,28,33,105,108,112,51,21
"Cowes, Isle of Wight ",41,58,111,95,81,97,288,159,222,273,162,61,46,22
Cromarty Firth,181,217,214,188,205,190,147,179,141,136,195,158,155,23
Dover,21551,20127,17719,17138,19432,18632,16879,17729,18396,17689,17649,17239,13765,24
Dundee,210,252,224,234,214,208,180,166,238,192,190,171,145,25
Falmouth,1309,1100,1460,1128,689,310,281,280,264,541,637,647,528,26
Felixstowe,3453,3298,3332,3038,2895,2749,2605,2506,2579,2449,2070,1942,1806,27
Fishguard,950,771,788,695,678,699,691,671,731,713,683,686,625,28
Fleetwood,862,837,0,0,0,0,0,1,2,0,0,0,0,29
Forth,2882,2759,2639,2446,2204,2206,2172,2171,1982,1838,1858,1710,1661,30
Fowey,220,236,227,199,209,176,174,164,161,130,140,108,76,31
Fraserburgh,18,4,21,28,17,15,15,14,19,15,14,15,4,32
Garston,131,136,126,139,118,112,115,119,134,132,94,84,98,33
Gill's Bay Scotland,1011,1092,1079,1084,1056,1086,1089,1080,1095,1095,1026,1042,912,34
Glensanda,142,209,190,161,129,181,139,123,173,168,157,135,137,35
Goole,842,932,895,636,737,631,655,717,718,713,725,617,533,36
Great Yarmouth,207,237,241,333,255,215,207,337,220,210,153,217,157,37
Grimsby & Immingham,7334,7923,8752,9383,8799,8572,8959,8548,7912,7500,7197,7126,6511,38
Harwich,1848,2108,2601,2867,2467,2366,2035,1456,1535,1398,1403,1413,1308,39
Heysham,2323,2733,2690,2523,2211,2139,2056,2123,2092,2039,2003,2040,2008,40
Holyhead,2902,3097,3018,3024,3027,3391,3227,3294,3220,3141,3069,3108,2811,41
Hughtown (St Mary's),0,0,0,0,0,0,0,0,0,4,0,0,0,42
Hull,2524,2612,2982,3037,2736,2606,2719,2568,2760,2912,3217,3081,2478,43
Inverkeithing,0,0,0,0,0,0,0,0,0,64,61,57,48,44
Inverness,225,245,222,224,234,195,249,238,199,218,232,209,194,45
Ipswich,1320,1047,974,807,565,1066,737,845,994,551,503,525,527,46
Kilroot,131,212,332,360,433,338,401,359,250,201,303,225,225,47
Kilroot Power Station Jetty,71,100,149,249,271,244,223,210,166,166,210,132,129,48
King's Lynn,305,339,288,271,218,216,223,221,172,172,161,164,181,49
Lancaster,163,221,127,140,128,139,134,138,134,24,44,42,40,50
Larne,4150,4372,3802,3083,2867,2762,2686,2476,2478,2466,2428,2326,1925,51
Lerwick,926,908,990,941,907,810,923,899,840,1028,957,1049,869,52
Littlehampton,19,1,24,27,20,21,20,16,8,4,14,10,6,53
Liverpool,6213,8489,7755,6099,6206,7786,6161,6379,6621,6540,6709,6520,5899,54
Llandulas,20,44,126,78,99,10,49,58,68,68,67,74,50,55
Loch Ryan ,0,0,0,2150,2087,2040,2045,2082,2067,2067,2062,2047,1872,56
London,8268,8616,8598,8200,8416,7995,7386,7829,7808,6630,7045,7037,5960,57
Londonderry,325,370,350,331,332,306,316,349,295,286,287,248,253,58
Lowestoft,93,80,62,47,41,36,41,34,30,32,12,19,20,59
Manchester,1402,1586,1930,1836,1986,1738,1961,1631,1545,1316,1713,1688,1540,60
Medway,2659,2693,2863,3181,2807,3409,3031,2834,2179,1797,1788,1735,1492,61
Milford Haven,2711,2685,3744,2769,2878,2658,3792,3772,2704,1967,1924,1909,1700,62
Mistley,55,84,72,71,73,94,73,65,70,9,7,2,4,63
Montrose,135,189,203,209,255,265,225,209,186,192,210,220,225,64
Mostyn,16,48,53,27,85,49,30,31,16,15,8,7,4,65
Neath,1,23,151,79,70,84,78,31,4,74,23,10,12,66
Newhaven,794,758,1055,752,1340,834,900,893,904,900,892,887,732,67
Newport,586,617,690,590,720,681,770,819,689,691,546,491,429,68
"Newport, Isle of Wight",0,0,0,0,0,0,0,0,0,0,0,1,1,69
Orkney,1633,1450,2053,2306,1958,2174,2619,2653,2490,2623,2543,2528,2325,70
Other ports,523,599,398,627,689,1306,2632,1830,1594,415,296,433,245,71
Padstow,0,0,0,0,0,0,0,0,1,0,0,0,0,72
Penzance,0,0,0,34,109,90,11,73,41,0,0,0,0,73
Perth,74,71,59,45,50,51,56,24,14,18,17,22,18,74
Peterhead,176,203,186,164,168,239,212,148,233,170,163,161,163,75
Plymouth,969,989,990,999,836,776,786,828,810,807,799,820,524,76
Poole,1441,1079,1178,1003,1360,751,978,1187,1189,948,958,1040,454,77
Port Penrhyn,0,0,0,0,0,1,5,4,3,5,4,2,2,78
Port Talbot,119,213,219,206,228,261,182,163,193,154,150,155,156,79
Porthoustock,85,88,112,63,21,20,33,41,46,0,0,0,0,80
Portsmouth ,3533,3837,3792,3269,3218,3575,3814,3677,3685,3421,3099,3137,2010,81
Ramsgate ,2182,2044,1465,1217,260,27,45,65,43,37,41,56,35,82
River Ouse,143,148,113,102,68,104,105,97,76,79,78,63,51,83
River Trent,661,795,785,780,747,815,712,695,621,518,528,498,386,84
Rivers Hull and Humber,542,561,581,753,594,529,538,506,458,372,454,474,374,85
Rye,50,61,35,37,20,25,21,16,25,24,25,19,30,86
Scalloway,0,0,0,0,0,0,0,0,0,0,0,0,0,87
Scrabster,1007,1000,1122,1129,917,959,923,912,909,910,908,910,928,88
Seaham,142,153,154,191,209,213,224,214,208,209,208,205,186,89
Sharpness,155,135,168,149,161,172,159,136,124,128,120,133,134,90
Shoreham,419,406,375,387,290,332,409,380,302,305,277,258,262,91
Silloth,70,109,101,89,93,68,54,54,45,45,59,56,41,92
Southampton ,4079,5098,5038,4733,4469,4656,4978,4912,4731,4943,4470,4074,3531,93
Stornoway,64,82,96,82,80,227,209,22,18,73,56,103,62,94
Stranraer ,2178,2308,2098,0,0,0,0,0,0,0,0,0,0,95
Sullom Voe,206,206,207,201,183,117,145,145,173,69,76,103,79,96
Sunderland,205,127,158,139,157,174,170,191,201,188,189,170,162,97
Sutton Bridge,205,212,228,211,182,168,170,167,154,158,149,99,82,98
Swansea,106,284,242,156,148,126,133,140,148,138,139,139,135,99
Tees and Hartlepool,4236,4671,4513,4419,3972,4014,4070,3837,3682,3491,3596,3533,3480,100
Teignmouth,220,222,181,197,198,185,168,152,176,169,166,137,145,101
Troon,786,771,736,421,462,474,382,53,67,0,0,0,0,102
Truro,15,9,18,8,4,0,5,8,13,5,9,6,9,103
Tyne,1146,1376,1643,1561,1371,1270,1103,1097,1036,1058,1037,938,744,104
Wallasea,0,0,0,0,0,0,0,0,0,0,0,0,0,105
Warrenpoint,885,899,791,893,920,1054,991,967,988,960,951,907,868,106
Weymouth & Portland,402,361,953,827,721,658,172,394,371,491,508,581,375,107
Whitstable,22,44,40,30,30,27,25,30,36,2,0,14,4,108
Wick,0,1,0,0,0,7,20,5,5,13,12,24,16,109
Wisbech,23,25,30,38,16,35,43,44,57,63,90,96,59,110
Workington,60,50,91,132,146,152,143,123,136,111,177,159,138,111
